Core-index,jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning
1643,JLPT0,ハム,ハム,ham,Noun,ハムサンドをください。,はむ さんど を ください,"Could I have a ham sandwich, please."
1644,JLPT0,ボーイフレンド,ボーイフレンド,boyfriend,Noun,私のボーイフレンドはハンサムな方でした。,わたし の ぼーいふれんど は はんさむな かた でした,My boyfriend was a handsome man.
1645,JLPT2,床,ゆか,floor,Noun,床がぬれている。,ゆか が ぬれて いる,The floor is wet.
1646,JLPT0,例文,れいぶん,"illustrative sentence, example",Noun,例文を3つ作ってください。,れいぶん を みっつ つくって ください,Please make three example sentences.
1647,JLPT0,ローマ字,ろーまじ,Roman alphabet,Noun,ローマ字で名前を書いてください。,ろーまじ で なまえ を かいて ください,Please write your name using Roman letters.
1648,JLPT2,アイロン,アイロン,iron,Noun,彼女はシャツにアイロンをかけた。,かのじょ は しゃつ に あいろん を かけた,She ironed the shirt.
1649,JLPT0,苺,いちご,strawberry,Noun,この苺はとても甘い。,この いちご は とても あまい,This strawberry is very sweet.
1650,JLPT0,カレーライス,カレーライス,curried rice,Noun,子供はカレーライスが好きです。,こども は かれーらいす が すき です,Children like curry and rice.
1651,JLPT0,キャッシュカード,キャッシュカード,cash card,Noun,キャッシュカードでお金を下ろした。,きゃっしゅかーど で おかね を おろした,I took out some money with my cash card.
1652,JLPT0,曇り,くもり,"cloudiness, cloudy weather",Noun,今日は一日曇りでした。,きょう は いちにち くもり でした,It was cloudy all day today.
1653,JLPT4,魚,さかな,fish,Noun,肉と魚とどちらが好きですか。,にく と さかな と どちら が すき です か,"Which do you prefer, meat or fish?"
1654,JLPT4,塩,しお,salt,Noun,もうちょっと塩を入れて。,もう ちょっと しお を いれて,Put in a little more salt.
1655,JLPT2,停留所,ていりゅうじょ,"stop, station",Noun,バスの停留所で10分待ちました。,ばす の ていりゅうじょ で じゅっぷん まちました,I waited for ten minutes at the bus stop.
1656,JLPT2,床屋,とこや,"barber, barbershop",Noun,昨日床屋で髪を切った。,きのう とこや で かみ を きった,Yesterday I had my hair cut at the barber's.
1657,JLPT3,歯医者,はいしゃ,dentist,Noun,私は歯医者が嫌いです。,わたし は はいしゃ が きらい です,I hate the dentist.
1658,JLPT2,歯磨き,はみがき,"toothpaste, brushing one's teeth",Noun,歯磨きはしましたか。,はみがき は しました か,Have you brushed your teeth?
1659,JLPT0,早起き,はやおき,early rising,Verbal Noun,祖父は早起きです。,そふ は はやおき です,My grandfather gets up early.
1660,JLPT0,冬休み,ふゆやすみ,winter vacation,Noun,冬休みにお祖父ちゃんの家に行きます。,ふゆやすみ に おじいちゃん の うち に いきます,I'm going to grandpa's house during winter break.
1661,JLPT0,持って行く,もっていく,take,Verb,水を持って行きましょう。,みず を もっていきましょう,Let's take some water with us.
1662,JLPT3,夕飯,ゆうはん,"evening meal, supper",Noun,夕飯は寿司でした。,ゆうはん は すし でした,Dinner was sushi.
1663,JLPT2,酔っ払い,よっぱらい,"drunkard, boozer",Noun,彼はただの酔っ払いです。,かれ は ただ の よっぱらい です,He's nothing but a drunk.
1664,JLPT2,例,れい,"example, precedent",Noun,一つ例をあげてください。,ひとつ れい を あげて ください,Please give an example.
1665,JLPT0,イヤリング,イヤリング,earrings,Noun,彼女はすてきなイヤリングをしている。,かのじょ は すてき な いやりんぐ を して いる,She's wearing wonderful earrings.
1666,JLPT0,横断歩道,おうだんほどう,"pedestrian crossing, crosswalk",Noun,あそこに横断歩道があります。,あそこ に おうだんほどう が あります,There's a crosswalk over there.
1667,JLPT0,お辞儀,おじぎ,bow,Verbal Noun,皆、社長にお辞儀をした。,みんな しゃちょう に おじぎ を した,Everyone bowed to the company president.
1668,JLPT3,お宅,おたく,"your home, you, fan, geek",Noun,先生のお宅はどちらですか。,せんせい の おたく は どちら です か,Where is the teacher's house?
1669,JLPT0,ガールフレンド,ガールフレンド,girlfriend,Noun,昔は彼女のことをガールフレンドと言っていました。,むかし は かのじょ の こと を がーるふれんど と いって いました,"We used to call girlfriends ""garufurendo."""
1670,JLPT0,カセットテープ,カセットテープ,cassette tape,Noun,昔はカセットテープを使っていました。,むかし は かせっとてーぷ を つかっていました 。,I used to use cassette tapes a long time ago.
1671,JLPT2,かゆい,かゆい,itchy,Adjective,背中がかゆいです。,せなか が かゆい です,My back itches.
